I1	m.mollis 
I2	m.mollis 
I3	m.mollis 
M1	m.mollis 
RP1210	biguttulus 
RP1211	biguttulus 
RP1212	biguttulus 
RP1213	biguttulus 
RP1221	biguttulus 
RP1230	brunneus 
RP1231	brunneus 
RP1232	brunneus 
RP1233	brunneus 
RP1234	brunneus 
RP1238	brunneus 
RP1239	brunneus 
RP1240	brunneus 
RP1253	t.brunneus 
RP1254	t.brunneus 
RP1255	t.brunneus 
RP1256	t.brunneus 
RP1257	t.brunneus 
RP1258	t.brunneus 
RP1259	t.brunneus 
RP1260	t.brunneus 
RP1261	t.brunneus 
RP1263	t.brunneus 
RP1264	t.brunneus 
RP1265	t.brunneus 
RP1266	t.brunneus 
RP1267	t.brunneus 
RP1268	t.brunneus 
RP1269	t.brunneus 
RP1270	t.brunneus 
RP1271	t.brunneus 
RP1272	t.brunneus 
RP1274	brunneus 
RP1275	brunneus 
RP1276	brunneus 
RP1277	brunneus 
RP1278	t.brunneus 
RP1279	t.brunneus 
RP1280	t.brunneus 
RP1281	t.brunneus 
RP1282	t.brunneus 
RP1283	t.brunneus 
RP1284	t.brunneus 
RP1285	t.brunneus 
RP1286	t.brunneus 
RP1287	t.brunneus 
RP1288	t.brunneus 
RP1289	t.brunneus 
RP1290	t.brunneus 
RP1291	t.brunneus 
RP1292	t.brunneus 
RP1293	t.brunneus 
RP1294	t.brunneus 
RP1295	t.brunneus 
RP1297	t.brunneus 
RP1298	t.brunneus 
RP1299	t.brunneus 
RP1300	t.brunneus 
RP1301	t.brunneus 
RP1302	t.brunneus 
RP1304	m.ignifer
RP1305	m.ignifer
RP1312	m.ignifer
RP1313	biguttulus 
RP1314	biguttulus 
RP1315	biguttulus 
RP1316	biguttulus 
RP1317	biguttulus 
RP1338	biguttulus 
RP1339	biguttulus 
RP1340	biguttulus 
RP1341	biguttulus 
RP1342	biguttulus 
RP1343	biguttulus 
RP1344	biguttulus 
RP1345	biguttulus 
RP1361	m.mollis 
RP1362	m.mollis 
RP1363	m.mollis 
RP1364	m.mollis 
RP1365	m.mollis 
RP1366	m.mollis 
RP1369	m.mollis 
RP1379	m.ignifer
RP1380	m.ignifer
RP1381	m.ignifer
RP1382	m.ignifer
RP1383	m.ignifer
RP1384	m.ignifer
RP1385	m.ignifer
RP1386	m.ignifer
RP1388	m.ignifer
RP1403	brunneus 
RP1404	brunneus 
RP1405	brunneus 
RP1406	brunneus 
RP1407	brunneus 
RP1417	brunneus 
RP1418	brunneus 
RP1419	brunneus 
RP1420	brunneus 
RP1421	brunneus 
RP1422	brunneus 
RP1423	brunneus 
RP1424	brunneus 
RP1426	brunneus 
RP1427	brunneus 
RP1434	m.ignifer
RP1436	m.ignifer
RP1437	m.ignifer
RP1438	m.ignifer
RP1439	m.ignifer
RP1441	m.ignifer
RP1442	m.ignifer
RP1456	brunneus 
RP1458	brunneus 
RP1459	brunneus 
RP1460	m.ignifer
RP1463	m.ignifer
RP1464	m.ignifer
RP1465	m.ignifer
RP1466	m.ignifer
RP1467	m.ignifer
RP1468	m.ignifer
RP1469	m.ignifer
RP1470	m.ignifer
RP1479	t.brunneus 
RP1480	t.brunneus 
RP1481	t.brunneus 
RP1482	t.brunneus 
RP1483	t.brunneus 
RP1484	t.brunneus 
RP1485	t.brunneus 
RP1486	t.brunneus 
RP1487	t.brunneus 
RP1488	t.brunneus 
RP1489	t.brunneus 
RP1490	t.brunneus 
RP1493	brunneus 
RP1494	brunneus 
RP1495	brunneus 
RP1496	brunneus 
RP1497	brunneus 
RP1499	brunneus 
RP1500	brunneus 
RP1508	brunneus 
RP1509	brunneus 
RP1510	brunneus 
RP1511	brunneus 
RP1512	brunneus 
RP1513	brunneus 
RP1517	biguttulus 
RP1518	biguttulus 
RP1519	biguttulus 
RP1520	biguttulus 
RP1521	biguttulus 
RP1531	biguttulus 
RP1532	biguttulus 
RP1533	biguttulus 
RP1534	biguttulus 
RP1550	brunneus 
RP1551	brunneus 
RP1552	m.mollis 
RP1553	m.mollis 
RP1554	m.mollis 
RP1555	m.mollis 
RP1556	m.mollis 
RP1561	brunneus 
RP1562	brunneus 
RP1563	brunneus 
RP1564	brunneus 
RP1565	brunneus 
RP1569	m.mollis 
RP1570	m.mollis 
RP1571	m.mollis 
RP1572	m.mollis 
RP1573	m.mollis 
RP1575	biguttulus 
RP1576	biguttulus 
RP1577	biguttulus 
RP1578	biguttulus 
RP1579	biguttulus 
RP1581	brunneus 
RP1582	brunneus 
RP1583	brunneus 
RP1584	brunneus 
